include,label,title,pathology_category,assigned_groups,structure_id,rung_tag,rung_type,source_route,space_group,radiation,R1,wR2,Rint,completeness,alerts_A,alerts_B,alerts_C,catastrophic,cif_path,fcf_available,suggested_label
,,,Reference (no degradation),,ej2019,00_reference,data-degradation,synthetic-degraded,C 2/c,Mo,0.0544,0.1471,0.080,98.8%,0,0,12,,Pipeline/Good_Structures_and_data/ej2019/ladder/rung_00_reference/I.cif,yes,ej2019_reference
,,,Data quality — low resolution,,ej2019,01_res_1p0,data-degradation,synthetic-degraded,C 2/c,Mo,0.0438,0.1240,0.052,99.6%,2,0,12,,Pipeline/Good_Structures_and_data/ej2019/ladder/rung_01_res_1p0/I.cif,yes,ej2019_res1p0
,,,Data quality — low resolution,,ej2019,02_res_1p2,data-degradation,synthetic-degraded,C 2/c,Mo,0.0422,0.1193,0.041,99.5%,4,1,11,,Pipeline/Good_Structures_and_data/ej2019/ladder/rung_02_res_1p2/I.cif,yes,ej2019_res1p2
,,,Data quality — incomplete data,,ej2019,03_complete_88,data-degradation,synthetic-degraded,C 2/c,Mo,0.0543,0.1472,0.081,87.0%,1,1,9,,Pipeline/Good_Structures_and_data/ej2019/ladder/rung_03_complete_88/I.cif,yes,ej2019_complete88
,,,Data quality — incomplete data,,ej2019,04_complete_80,data-degradation,synthetic-degraded,C 2/c,Mo,0.0542,0.1493,0.080,79.5%,1,1,10,,Pipeline/Good_Structures_and_data/ej2019/ladder/rung_04_complete_80/I.cif,yes,ej2019_complete80
,,,Data quality — systematic gaps (3DED geometry),,ej2019,05_cone_3ded,data-degradation,synthetic-degraded,C 2/c,Mo,0.0559,0.1481,0.082,80.7%,1,1,12,,Pipeline/Good_Structures_and_data/ej2019/ladder/rung_05_cone_3ded/I.cif,yes,ej2019_cone3ded
,,,Data quality — low-angle wedge missing,,ej2019,06_wedge_lowang,data-degradation,synthetic-degraded,C 2/c,Mo,0.0549,0.1477,0.094,98.3%,0,0,11,,Pipeline/Good_Structures_and_data/ej2019/ladder/rung_06_wedge_lowang/I.cif,yes,ej2019_wedgelowang
,,,Data quality — weak data,,ej2019,07_weak,data-degradation,synthetic-degraded,C 2/c,Mo,0.0466,0.1209,0.080,98.8%,0,0,11,,Pipeline/Good_Structures_and_data/ej2019/ladder/rung_07_weak/I.cif,yes,ej2019_weak
,,,Data quality — absorption error,,ej2019,08_absorption,data-degradation,synthetic-degraded,C 2/c,Mo,0.1015,0.2669,0.443,98.8%,4,1,11,,Pipeline/Good_Structures_and_data/ej2019/ladder/rung_08_absorption/I.cif,yes,ej2019_absorption
,,,Missed symmetry,,ej2019,ms,missed-symmetry,synthetic-wrong-symmetry,C 2/c,Mo,0.4423,9.1359,0.074,98.0%,212,42,427,,Pipeline/Good_Structures_and_data/ej2019/ladder/rung_ms/I.cif,yes,ej2019_ms
,,,Atom misassignment,,ej2019,wa,wrong-atom,synthetic-wrong-atom,C 2/c,Mo,0.0617,0.1785,0.080,98.8%,0,5,12,,Pipeline/Good_Structures_and_data/ej2019/ladder/rung_wa/I.cif,yes,ej2019_wa
,,,Reference (no degradation),,hb8120,00_reference,data-degradation,synthetic-degraded,P 21/n,Mo,0.0425,0.1159,0.060,99.6%,0,0,4,,Pipeline/Good_Structures_and_data/hb8120/ladder/rung_00_reference/I.cif,yes,hb8120_reference
,,,Data quality — low resolution,,hb8120,01_res_1p0,data-degradation,synthetic-degraded,P 21/n,Mo,0.0340,0.0857,0.052,100.0%,1,1,9,,Pipeline/Good_Structures_and_data/hb8120/ladder/rung_01_res_1p0/I.cif,yes,hb8120_res1p0
,,,Data quality — low resolution,,hb8120,02_res_1p2,data-degradation,synthetic-degraded,P 21/n,Mo,0.0285,0.0722,0.048,100.0%,4,1,10,,Pipeline/Good_Structures_and_data/hb8120/ladder/rung_02_res_1p2/I.cif,yes,hb8120_res1p2
,,,Data quality — incomplete data,,hb8120,03_complete_88,data-degradation,synthetic-degraded,P 21/n,Mo,0.0417,0.1133,0.061,87.6%,1,1,4,,Pipeline/Good_Structures_and_data/hb8120/ladder/rung_03_complete_88/I.cif,yes,hb8120_complete88
,,,Data quality — incomplete data,,hb8120,04_complete_80,data-degradation,synthetic-degraded,P 21/n,Mo,0.0418,0.1154,0.060,79.4%,1,1,3,,Pipeline/Good_Structures_and_data/hb8120/ladder/rung_04_complete_80/I.cif,yes,hb8120_complete80
,,,Data quality — systematic gaps (3DED geometry),,hb8120,05_cone_3ded,data-degradation,synthetic-degraded,P 21/n,Mo,0.0420,0.1156,0.059,81.5%,1,1,6,,Pipeline/Good_Structures_and_data/hb8120/ladder/rung_05_cone_3ded/I.cif,yes,hb8120_cone3ded
,,,Data quality — low-angle wedge missing,,hb8120,06_wedge_lowang,data-degradation,synthetic-degraded,P 21/n,Mo,0.0435,0.1158,0.065,99.4%,0,0,5,,Pipeline/Good_Structures_and_data/hb8120/ladder/rung_06_wedge_lowang/I.cif,yes,hb8120_wedgelowang
,,,Data quality — weak data,,hb8120,07_weak,data-degradation,synthetic-degraded,P 21/n,Mo,0.0390,0.1027,0.059,99.6%,0,0,6,,Pipeline/Good_Structures_and_data/hb8120/ladder/rung_07_weak/I.cif,yes,hb8120_weak
,,,Data quality — absorption error,,hb8120,08_absorption,data-degradation,synthetic-degraded,P 21/n,Mo,0.0543,0.1561,0.187,99.6%,0,0,6,,Pipeline/Good_Structures_and_data/hb8120/ladder/rung_08_absorption/I.cif,yes,hb8120_absorption
,,,Missed symmetry,,hb8120,ms,missed-symmetry,synthetic-wrong-symmetry,P 21/n,Mo,0.0431,0.1155,0.057,99.0%,18,8,35,,Pipeline/Good_Structures_and_data/hb8120/ladder/rung_ms/I.cif,yes,hb8120_ms
